site_no,date,time,discharge_cfs
12045500,3/29/2025,5:45,3350
12045500,3/29/2025,6:00,3320
12045500,3/29/2025,6:15,3330
12045500,3/29/2025,6:30,3290
12045500,3/29/2025,6:45,3290
12045500,3/29/2025,7:00,3300
12045500,3/29/2025,7:15,3270
12045500,3/29/2025,7:30,3270
12045500,3/29/2025,7:45,3290
12045500,3/29/2025,8:00,3240
12045500,3/29/2025,8:15,3260
12045500,3/29/2025,8:30,3230
12045500,3/29/2025,8:45,3200
12045500,3/29/2025,9:00,3200
12045500,3/29/2025,9:15,3210
12045500,3/29/2025,9:30,3210
12045500,3/29/2025,9:45,3140
12045500,3/29/2025,10:00,3200
12045500,3/29/2025,10:15,3150
12045500,3/29/2025,10:30,3180
12045500,3/29/2025,10:45,3170
12045500,3/29/2025,11:00,3140
12045500,3/29/2025,11:15,3140
12045500,3/29/2025,11:30,3110
12045500,3/29/2025,11:45,3110
12045500,3/29/2025,12:00,3100
12045500,3/29/2025,12:15,3130
12045500,3/29/2025,12:30,3110
12045500,3/29/2025,12:45,3080
12045500,3/29/2025,13:00,3070
12045500,3/29/2025,13:15,3050
12045500,3/29/2025,13:30,3070
12045500,3/29/2025,13:45,3050
12045500,3/29/2025,14:00,3040
12045500,3/29/2025,14:15,3050
12045500,3/29/2025,14:30,3040
12045500,3/29/2025,14:45,3020
12045500,3/29/2025,15:00,3010
12045500,3/29/2025,15:15,3040
12045500,3/29/2025,15:30,3010
12045500,3/29/2025,15:45,2990
12045500,3/29/2025,16:00,2990
12045500,3/29/2025,16:15,2980
12045500,3/29/2025,16:30,3010
12045500,3/29/2025,16:45,2990
12045500,3/29/2025,17:00,2990
12045500,3/29/2025,17:15,2970
12045500,3/29/2025,17:30,2940
12045500,3/29/2025,17:45,2950
12045500,3/29/2025,18:00,2920
12045500,3/29/2025,18:15,2950
12045500,3/29/2025,18:30,2970
12045500,3/29/2025,18:45,2980
12045500,3/29/2025,19:00,2920
12045500,3/29/2025,19:15,2910
12045500,3/29/2025,19:30,2890
12045500,3/29/2025,19:45,2890
12045500,3/29/2025,20:00,2890
12045500,3/29/2025,20:15,2890
12045500,3/29/2025,20:30,2910
12045500,3/29/2025,20:45,2890
12045500,3/29/2025,21:00,2870
12045500,3/29/2025,21:15,2910
12045500,3/29/2025,21:30,2850
12045500,3/29/2025,21:45,2870
12045500,3/29/2025,22:00,2850
12045500,3/29/2025,22:15,2820
12045500,3/29/2025,22:30,2850
12045500,3/29/2025,22:45,2850
12045500,3/29/2025,23:00,2870
12045500,3/29/2025,23:15,2840
12045500,3/29/2025,23:30,2840
12045500,3/29/2025,23:45,2820
12045500,3/30/2025,0:00,2810
12045500,3/30/2025,0:15,2810
12045500,3/30/2025,0:30,2810
12045500,3/30/2025,0:45,2820
12045500,3/30/2025,1:00,2820
12045500,3/30/2025,1:15,2800
12045500,3/30/2025,1:30,2800
12045500,3/30/2025,1:45,2800
12045500,3/30/2025,2:00,2810
12045500,3/30/2025,2:15,2800
12045500,3/30/2025,2:30,2800
12045500,3/30/2025,2:45,2780
12045500,3/30/2025,3:00,2780
